selling_price,km_driven,engine_size,car_age
450000,145500,1248,7
370000,120000,1498,7
158000,140000,1497,15
225000,127000,1396,11
130000,120000,1298,14
440000,45000,1197,4
96000,175000,1061,14
45000,5000,796,20
350000,90000,1364,10
200000,169000,1399,8
500000,68000,1461,7
92000,100000,993,16
280000,140000,1248,12
180000,90000,1061,12
400000,40000,1198,5
778000,70000,1248,5
500000,53000,1396,9
150000,80000,796,19
680000,100000,1396,5
174000,100000,1461,10
950000,50000,1498,4
525000,40000,1248,6
600000,72000,1248,9
500000,35000,1199,3
575000,45000,1197,5
275000,28000,796,4
300000,70000,1248,8
220000,120000,1061,12
254999,25000,796,3
670000,70000,1248,4
150000,35000,796,9
730000,2388,1197,3
650000,16200,1248,4
330000,10000,796,2
366000,15000,998,2
1149000,5000,1591,2
150000,42000,1198,5
425000,60000,2179,10
150000,76000,796,9
2100000,5000,1368,2
925000,28900,1497,3
425000,86300,1497,8
675000,23300,1197,3
819999,32600,1248,3
390000,10300,998,3
1500000,77000,2982,7
700000,99000,2494,8
1450000,27800,2143,7
425000,49800,1498,6
1090000,151000,2477,8
600000,54700,1498,6
850000,64000,1462,3
525000,63000,1498,6
1650000,127700,2755,5
950000,99000,2494,5
1750000,33900,1968,8
1590000,25000,1798,3
1689999,50000,1968,8
1425000,59000,2143,8
265000,120000,1248,10
190000,110000,1197,10
425000,60000,1396,8
630000,147000,1248,6
600000,25000,1196,4
650000,30000,1197,2
540000,40000,1498,5
630000,135000,1498,6
448000,30000,998,3
500000,80000,1498,4
745000,70000,1248,5
1025000,9850,1248,2
235000,60000,1197,10
630000,70000,1248,5
1700000,78000,2982,6
450000,120000,1248,8
450000,120000,1373,9
450000,170000,1598,8
1200000,140000,2494,5
610000,90000,1498,6
2500000,30000,1998,5
484999,10000,998,4
275000,49000,1198,5
315000,32000,796,5
275000,38000,796,5
290000,28000,1086,9
280000,32000,796,4
225000,44000,998,11
455000,42000,1198,6
351000,45000,1086,6
535000,12000,1598,9
175000,55500,998,12
525000,61500,1197,8
600000,150000,1248,5
565000,72000,1197,5
120000,68000,796,13
725000,110000,1396,4
185000,77000,998,12
200000,100000,1248,11
615000,10000,1197,2
270000,100000,1196,5
610000,35000,1197,3
625000,70000,2179,7
400000,5000,1194,1
866000,37800,1591,4
700000,114000,1798,11
300000,48000,1172,11
1700000,32000,2179,2
375000,100000,1405,5
522000,150000,1582,8
451999,69000,1396,8
300000,100000,1798,12
475000,13000,998,1
780000,60000,1248,5
595000,40000,1197,4
440000,35000,998,4
400000,70000,1461,7
1140000,50000,1582,5
850000,76139,1498,4
370000,175000,1248,9
350000,25000,999,3
360000,40000,998,6
105000,65000,796,13
625000,90000,1248,8
135000,80000,1086,12
700000,110000,1248,6
690000,1303,1198,2
3975000,31800,1968,3
5150000,20000,2487,2
3200000,45000,1999,4
4100000,17000,3604,4
4500000,21000,1999,2
6000000,37000,2987,4
3790000,29500,1995,3
5800000,7500,1995,2
1864999,50000,1798,3
2700000,35000,2143,5
1750000,19000,1451,2
795000,41000,1497,4
625000,39000,1798,8
3400000,22000,1969,3
2650000,53000,2967,6
535000,40000,1248,6
5850000,47000,2987,4
975000,72200,2497,11
805000,49900,1797,5
2625000,9000,1999,4
811000,11000,1198,3
375000,49000,1598,10
550000,95000,1797,9
645000,11000,1598,5
2550000,18000,1991,3
599000,46100,1373,7
2700000,16000,1991,4
875000,18000,1497,4
894999,9654,1197,2
175000,11000,998,10
340000,24300,1197,9
1525000,42163,2755,5
1025000,8000,1497,3
2150000,30000,1995,5
1900000,41000,2494,5
2900000,12000,1995,5
450000,71000,2362,12
850000,20000,1373,5
10000000,30000,1969,4
300000,100000,1598,10
575000,9500,1196,3
160000,120000,1399,10
515000,36600,1197,6
390000,50000,998,6
550000,14000,1197,5
40000,40000,796,22
220000,120000,1248,11
425000,70000,1197,6
480000,13000,999,2
400000,60000,1197,7
487000,35000,1197,7
386000,44000,1197,5
100000,120000,1493,16
300000,60000,1364,11
100000,60000,796,21
1750000,30000,2982,7
450000,15000,1198,5
490000,90000,1248,4
345000,47000,1497,12
85000,90000,993,16
215000,120600,998,11
320000,100000,1599,11
459999,60000,1197,5
65000,86000,1341,16
720000,5000,1197,1
800000,37000,1248,4
520000,14000,1199,2
580000,70000,1248,6
600000,50000,1497,6
290000,60000,1198,7
360000,50000,998,5
550000,50000,1197,4
375000,70000,1197,8
420000,35000,998,3
550000,20000,1197,4
270000,20000,796,3
700000,7800,1197,3
500000,20000,1197,4
1250000,15000,2179,2
320000,31377,1197,8
700000,50000,1248,3
290000,60000,998,6
550000,100000,1794,9
265000,60000,1198,9
830000,5000,1197,3
800000,60000,2179,4
160000,25000,796,10
335000,30000,799,3
329000,80000,1198,4
775000,75000,1248,4
524000,32000,1197,1
245000,40000,796,6
275000,93000,1197,9
520000,60000,1193,3
550000,37000,1498,7
910000,15000,1497,3
300000,80000,1198,6
350000,140000,998,5
900000,70000,2696,8
300000,120000,1493,8
250000,110000,1248,11
1100000,37000,1582,4
270000,44000,799,5
640000,80000,1248,6
650000,125000,2179,6
409999,13500,1196,4
165000,75000,1086,10
80000,120000,1495,14
535000,120000,2179,9
700000,70000,2494,8
550000,70000,1248,8
680000,15000,1199,2
200000,53000,1197,12
500000,120000,1248,7
1000000,70000,1248,5
110000,120000,1341,13
320000,100000,1197,9
350000,100000,1197,6
170000,162500,1405,8
800000,39000,1396,4
500000,75000,1248,4
1380000,50000,2179,4
1300000,40000,1497,2
530000,92500,1582,8
360000,158000,1248,9
310000,120000,1248,9
725000,50000,1498,6
340000,110000,1248,9
550000,2000,1186,4
1150000,181000,2982,10
380000,70000,1047,5
350000,90000,1498,8
610000,2000,1197,2
525000,20000,1197,6
480000,120000,2494,10
780000,35000,2498,4
320000,193000,1248,9
375000,80000,1197,7
300000,40000,1198,2
500000,70000,1396,6
404000,122358,2179,10
500000,75000,2956,6
350000,120000,1047,4
380000,40000,1193,6
114999,95200,1495,13
335000,33033,1198,7
465000,63063,1197,6
290000,60000,1248,9
110000,45000,796,16
450000,80000,2179,10
