,name,year,selling_price,km_driven
0,Maruti Swift Dzire VDI,2014,450000,145500
214,Maruti Swift Dzire VDI,2018,700000,50000
245,Maruti Swift Dzire VDI,2013,550000,70000
248,Maruti Swift Dzire VDI,2014,500000,120000
260,Maruti Swift Dzire VDI,2012,360000,158000
303,Maruti Swift Dzire VDI,2017,650000,25000
366,Maruti Swift Dzire VDI,2016,550000,60000
392,Maruti Swift Dzire VDI,2015,480000,90000
438,Maruti Swift Dzire VDI,2013,530000,120000
469,Maruti Swift Dzire VDI,2016,600000,147000
498,Maruti Swift Dzire VDI,2019,700000,30000
509,Maruti Swift Dzire VDI,2016,561000,30000
510,Maruti Swift Dzire VDI,2018,755000,15000
630,Maruti Swift Dzire VDI,2014,420000,80000
698,Maruti Swift Dzire VDI,2017,680000,40000
848,Maruti Swift Dzire VDI,2017,620000,107000
854,Maruti Swift Dzire VDI,2017,625000,43000
946,Maruti Swift Dzire VDI,2012,415000,108000
987,Maruti Swift Dzire VDI,2018,811000,100000
1035,Maruti Swift Dzire VDI,2019,757000,25000
1204,Maruti Swift Dzire VDI,2017,711000,35000
1278,Maruti Swift Dzire VDI,2014,450000,80000
1301,Maruti Swift Dzire VDI,2014,509999,110000
1303,Maruti Swift Dzire VDI,2014,511000,100000
1306,Maruti Swift Dzire VDI,2013,450000,120000
1329,Maruti Swift Dzire VDI,2016,649000,70000
1418,Maruti Swift Dzire VDI,2015,500000,120000
1459,Maruti Swift Dzire VDI,2016,525000,40000
1481,Maruti Swift Dzire VDI,2016,600000,80000
1503,Maruti Swift Dzire VDI,2018,650000,35500
1537,Maruti Swift Dzire VDI,2014,650000,50000
1539,Maruti Swift Dzire VDI,2017,650000,20000
1647,Maruti Swift Dzire VDI,2015,470000,110000
1668,Maruti Swift Dzire VDI,2015,480000,30000
1670,Maruti Swift Dzire VDI,2013,480000,80000
1749,Maruti Swift Dzire VDI,2017,605000,127000
1772,Maruti Swift Dzire VDI,2013,520000,58000
1884,Maruti Swift Dzire VDI,2015,600000,60000
1903,Maruti Swift Dzire VDI,2016,660000,55000
1934,Maruti Swift Dzire VDI,2017,700000,50000
2050,Maruti Swift Dzire VDI,2013,550000,100000
2052,Maruti Swift Dzire VDI,2019,750000,24000
2353,Maruti Swift Dzire VDI,2018,680000,70000
2390,Maruti Swift Dzire VDI,2013,525000,110000
2516,Maruti Swift Dzire VDI,2017,650000,75000
2519,Maruti Swift Dzire VDI,2015,520000,70000
2520,Maruti Swift Dzire VDI,2015,610000,60000
2575,Maruti Swift Dzire VDI,2017,651000,32500
